"","term","estimate","std.error","robust.se","statistic","p.value"
"147","frule11:lirule6",1.05511832888599,0.289095729045949,0.250902070808091,4.20529940421666,2.60736757503849e-05
"148","frule12:lirule9",-0.250086643748714,0.1935816821154,0.168940167052434,-1.48032672224773,0.138786075180885
"149","frule11:lirule10",-0.955221962073014,0.315000036867857,0.283490323743263,-3.36950464291011,0.000753034225309701
"150","frule12:owncomdiab",0.242414783452775,0.232489147553679,0.198765844455102,1.21959979652104,0.222616623596687
"151","frule11:owncomresp",0.747277596070916,0.284184155525308,0.229165349780152,3.26086643023394,0.00111072348848888
"152","frule11:owncomcanc",0.424323801186203,0.521505632311029,0.395100900761437,1.07396313288187,0.282839205494634
"153","frule11:vulnteens",1.31772002851686,0.421443477735795,0.338986992028182,3.88722888932359,0.000101395134947021
"154","frule12:vulnwomen",-0.0177132772196413,0.243743205929648,0.196667574315828,-0.0900670956117843,0.928233896814419
"155","frule12:vulnlowinc",0.317779556518128,0.192999472524358,0.158926304967165,1.99954033150008,0.0455499226108321
"156","frule11:vulnessent",0.272776695757709,0.243420616413516,0.190101529315652,1.43490005966643,0.151315578711657
"157","frule12:wrongexactnum",0.254880675703796,0.167657039094245,0.145099840702749,1.75658825309081,0.078988016671437
"158","frule11:wrongnopopup",-0.803349380562012,0.461659699462991,0.438668561123844,-1.83133566377284,0.0670504576141471
"159","frule11:pzipifinan",12.3195632957193,3.87250282609227,3.12389580720553,3.94365371191419,8.02495139042287e-05
"160","frule12:months2",-0.107227638379606,0.149386801865874,0.120542523642762,-0.889542006747632,0.373711857869987
"161","frule12:reject",-1.74143637691894,2328.22058337757,0.850015122599979,-2.04871222948638,0.0404902626428117
"162","frule12:y2020m7rdeaths",-0.0175677532849687,0.028242557725655,0.0216371258567838,-0.811926380668567,0.416833875993888
"163","frule12:y2020m10rdeaths",0.0508964968642707,0.05028554645252,0.0419933230436064,1.21201403402677,0.225507008565951
"164","frule11:agebin45to54",0.544297890027004,0.327662106988592,0.256820338327141,2.11937221784075,0.0340590227971491
"165","frule11:agebin55to64",0.247952317036298,0.301217301338631,0.255035006087664,0.972228561247267,0.330936854656128
"166","frule11:agebin75up",-0.305688027013264,0.454417654886366,0.349452236687682,-0.874763400889227,0.381702654971864
"167","frule12:income15",0.329476382898931,0.274969964950593,0.216438835276634,1.52226093102849,0.12794371325812
"168","frule11:income87.5",0.105994598979418,0.3507685518301,0.302252491414692,0.350682300361895,0.725826705575091
"169","frule12:income87.5",-0.00888542281909767,0.268234532660236,0.226567272432707,-0.0392175918599926,0.968716908149457
"170","frule12:countyfuture6to10",0.574800662712779,0.292290497125633,0.217104141910485,2.64758036237641,0.0081070088665006
"171","frule12:rulesjudgmentgood",0.0945373942177468,0.180899220262544,0.146825320487381,0.643876641330894,0.519655429981695
"172","frule12:prepjudgmentpoor",-0.280883769197283,0.202555024655335,0.169012721568464,-1.66190903614023,0.0965310146197092
"173","frule11:prepjudgmentreas",0.276710811341654,0.227876677943057,0.182349750005686,1.51747294050595,0.129147320347276
"174","frule12:ideologyMISSING",-0.452626817570021,0.3512736157687,0.256673632311909,-1.7634332498166,0.077827446048793
"175","frule11:ideologysconserv",-0.149994330446546,0.299512789753541,0.243349096519378,-0.616375127715346,0.537646965079346
"176","frule12:ideologysliberal",0.399227173840128,0.267759227558944,0.22594249429479,1.76694151795656,0.0772380229442716
"177","frule12:educationtradetech",1.34391841708371,0.528596984247845,0.412422502544617,3.25859624242574,0.00111964891722186
"178","frule12:tasknum2",-0.721394819360569,0.27337848298609,0.220630530543904,-3.26969625455809,0.00107663024213542
"179","frule12:tasknum3",-0.55996689115299,0.262752961684459,0.222756292941335,-2.51380952591298,0.0119434920098023
"180","frule11:tasknum4",0.121600358254353,0.347520802873188,0.27241828920192,0.44637369469794,0.655327331102999
"181","frule11:tasknum5",-0.506096682091188,0.238934772311727,0.193078774432651,-2.62119274155494,0.0087622707572032
"182","frule12:tasknum5",-0.632268357476635,0.259201231113421,0.207489358661328,-3.04723269451446,0.00230958842094347
"183","frule12:tasknum6",-0.355921687642149,0.287476528532401,0.247199202674966,-1.43981729629662,0.149919096387732
"184","frule11:tasknumMISSING",-1.54146174325054,0.984576301919827,0.701203502350333,-2.19830867655934,0.027927116518653
"185","frule12:tasknumMISSING",-0.93215515481248,0.702608766957211,0.440103153506263,-2.11803789040384,0.0341718588611526
"186","frule11:transitsome",-0.440985083886792,0.283357049959398,0.224271390330174,-1.96630111062124,0.0492638386146788
"187","frule11:transityes",0.417631566009147,0.273192365724383,0.222044010387781,1.8808504011425,0.0599922718008567
"188","frule12:layofftemp",0.178076686124182,0.146529145160035,0.119217328364587,1.49371478598811,0.13525018221012
"189","frule21:y2020m11deaths",0.119922554649424,0.0621523724305794,0.045296403955556,2.64750717887208,0.00810876380652972
"190","frule21:demeanrp",-0.10326849389062,0.102383573674252,0.079141837236965,-1.30485338091679,0.19194277817457
"191","frule22:ffcomheart",-0.302876662016006,0.312455526509034,0.232506766753335,-1.30265740754688,0.19269174927599
"192","frule23:ffcomresp",0.627020926789681,0.253667412620573,0.213747584503507,2.93346438625786,0.00335202107860246
"193","frule21:ffcomcanc",-0.79977482498627,0.41804825538833,0.332731543206126,-2.40366397871335,0.0162316854768419
"194","frule22:ffcomother",1.95026526431063,0.936697909297625,0.718879317669991,2.71292443164419,0.00666923134734964
"195","frule21:ffcomcovid",-0.234048688396443,0.328313453738603,0.278678579958712,-0.839851733244511,0.400991523032076
"196","frule22:ffcomcovid",0.613893217985816,0.374002162063803,0.269787863714292,2.27546639620504,0.022877966303085
"197","frule23:larule4",0.491398644228701,0.194236249260986,0.160788576526047,3.05617883338308,0.00224177503282382
"198","frule23:larule6",-0.395042713903085,0.198996487375866,0.167425578241894,-2.35951231616673,0.0182989734344951
"199","frule23:larule7",-0.214662145736897,0.189402616651411,0.158317718699501,-1.35589463706423,0.175132694109622
"200","frule23:larule8",-0.0388267154860708,0.166278493981226,0.152392094434356,-0.254781690810056,0.798891717321104
"201","frule22:lirule3",-0.600415188106679,0.2909664925284,0.233522042000443,-2.57112854513982,0.0101367693698646
"202","frule22:lirule4",-0.444700405779247,0.308518532250113,0.256833450732159,-1.73147385790882,0.0833672835623404
"203","frule22:lirule5",0.617515594038557,0.312251599782179,0.273580484660954,2.25716243906739,0.0239979264925026
"204","frule23:lirule8",-0.293212038008169,0.200948233045257,0.180169916599647,-1.6274195134347,0.103648029942669
"205","frule21:lirule9",-0.705194633253137,0.270503569089354,0.221928016414868,-3.17758273446134,0.00148508311892318
"206","frule22:owncomother",-0.542132429530545,0.46345227965254,0.36093686137072,-1.50201458358036,0.13309334253296
"207","frule23:owncompreg",-1.76239369182788,0.739601853062406,0.458955102194433,-3.84001328975587,0.000123027650283736
"208","frule22:owncomcovid",0.330460363638207,0.479455758970415,0.341064136849262,0.968909738476134,0.332590226123006
"209","frule23:R0subjrange",0.127336726060539,0.0664435917330879,0.0556310951136018,2.28894875789359,0.0220823298393675
"210","frule21:R0subjdnk",-0.347812333846234,0.22239880444827,0.181230876972028,-1.91916708486665,0.0549631916761864
"211","frule23:vulnchild",0.275043784881494,0.21377505513848,0.18751762854353,1.46676228265998,0.142440733329184
"212","frule23:vulnwomen",-0.208737245725439,0.270609247978694,0.229540784469618,-0.909368878422856,0.363155443783803
"213","frule21:vulnmen",0.596162003318886,0.298615545561569,0.252271049330798,2.3631804160657,0.0181188464717868
"214","frule21:vulnnonwhite",0.0648793629184445,0.231098898437522,0.183402716426902,0.353753554922416,0.723523583333828
"215","frule22:vulnrural",0.27714895104761,0.323382492831386,0.24356601185919,1.13788023596591,0.255170495097341
"216","frule21:wrongdaycare",-0.532874848330359,0.225153358042903,0.188203150621457,-2.83138112497468,0.00463474581816224
"217","frule22:wrongnopopup",0.506286336012247,0.447463172332111,0.361747221857634,1.39955832532004,0.16164562102424
"218","frule22:wronguneven",0.394746484669941,0.210656236764828,0.172943738646025,2.28251388434416,0.0224590187097698
"219","frule23:pziprasian",-0.599865753116591,0.625607613830078,0.547175434838204,-1.09629510925315,0.272949649005777
"220","frule21:pzipiagric",3.53998417255543,2.44528086676852,1.84884684907227,1.9146984372079,0.0555309730118674
"221","frule21:months2",-0.377593882021741,0.195526415091176,0.160734196549241,-2.34918200437867,0.0188147075311758
"222","frule21:y2020m5rcases",-0.00185799762743545,0.00156004084888737,0.00118258861523438,-1.57112761234152,0.116153009970735
"223","frule23:agebin35to44",0.249423475982313,0.20294574731895,0.177371820824715,1.40621816262912,0.159659352470145
"224","frule22:income22.5",-0.616262309135218,0.451203637506243,0.340505276982654,-1.80984657446766,0.0703195830566029
